ESTADO_DE_RESULTADOS,TRANSACCION,NEGOCIO,FECHA,PROVEEDOR,IMPORTE,CATEGORIA,CATEGORIA_ORIG,DESCRIPCION
Ventas,Ingreso,LA CASA DE ADOBE,01/06/2025,,21427.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,01/06/2025,,8754.4,PAGO CON TARJETA,PAGO CON TARJETA,
Gasto Operativo,Egreso,LA CASA DE ADOBE,01/06/2025,,20562.2,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,01/06/2025,,479.0,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,01/06/2025,,100.0,MANTENIMIENTO,MANTENIMIENTO,
Ventas,Ingreso,LA CASA DE ADOBE,02/06/2025,,6434.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,02/06/2025,,1162.0,PAGO CON TARJETA,PAGO CON TARJETA,
Costo de Venta,Egreso,LA CASA DE ADOBE,02/06/2025,,32.0,AGUA Y HIELO,AGUA Y HIELO,
Gasto Operativo,Egreso,LA CASA DE ADOBE,02/06/2025,,4782.0,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,02/06/2025,,47.2,PROPINAS,PROPINAS,
Ventas,Ingreso,LA CASA DE ADOBE,03/06/2025,,16683.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,03/06/2025,,4762.0,PAGO CON TARJETA,PAGO CON TARJETA,
Costo de Venta,Egreso,LA CASA DE ADOBE,03/06/2025,,2380.0,TORTILLAS,TORTILLAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,03/06/2025,,8085.0,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,03/06/2025,,343.7,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,03/06/2025,,25.0,MOTOENVIOS,MOTOENVIOS,
Ventas,Ingreso,LA CASA DE ADOBE,04/06/2025,,10826.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,04/06/2025,,865.1,PAGO CON TARJETA,PAGO CON TARJETA,
Ventas,Ingreso,LA CASA DE ADOBE,04/06/2025,,264.0,TRANSFERENCIAS,TRANSFERENCIAS,
Costo de Venta,Egreso,LA CASA DE ADOBE,04/06/2025,,2022.55,CARNES,CARNES,
Costo de Venta,Egreso,LA CASA DE ADOBE,04/06/2025,,48.0,AGUA Y HIELO,AGUA Y HIELO,
Gasto Operativo,Egreso,LA CASA DE ADOBE,04/06/2025,,49.1,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,04/06/2025,,25.0,MOTOENVIOS,MOTOENVIOS,
Ventas,Ingreso,LA CASA DE ADOBE,05/06/2025,,7697.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,05/06/2025,,2843.0,PAGO CON TARJETA,PAGO CON TARJETA,
Ventas,Ingreso,LA CASA DE ADOBE,05/06/2025,,240.0,TRANSFERENCIAS,TRANSFERENCIAS,
Costo de Venta,Egreso,LA CASA DE ADOBE,05/06/2025,,630.02,CERVEZAS,CERVEZAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,05/06/2025,,455.0,DEVOLUCIONES Y CANCELACIONES,DEVOLUCIONES Y CANCELACIONES,
Gasto Operativo,Egreso,LA CASA DE ADOBE,05/06/2025,,207.0,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,05/06/2025,,25.0,MOTOENVIOS,MOTOENVIOS,
Ventas,Ingreso,LA CASA DE ADOBE,06/06/2025,,6606.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,06/06/2025,,7028.0,PAGO CON TARJETA,PAGO CON TARJETA,
Costo de Venta,Egreso,LA CASA DE ADOBE,06/06/2025,,1704.5,"FRUTAS, VERDURAS, CHILES Y SEMILLAS","FRUTAS, VERDURAS, CHILES Y SEMILLAS",
Costo de Venta,Egreso,LA CASA DE ADOBE,06/06/2025,,1183.0,HUEVOS,HUEVOS,
Costo de Venta,Egreso,LA CASA DE ADOBE,06/06/2025,,40.0,AGUA Y HIELO,AGUA Y HIELO,
Costo de Venta,Egreso,LA CASA DE ADOBE,06/06/2025,,180.0,PANADERIA Y REPOSTERIA,PANADERIA Y REPOSTERIA,
Gasto Operativo,Egreso,LA CASA DE ADOBE,06/06/2025,,184.0,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,06/06/2025,,294.4,PROPINAS,PROPINAS,
Ventas,Ingreso,LA CASA DE ADOBE,07/06/2025,,12725.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,07/06/2025,,8126.1,PAGO CON TARJETA,PAGO CON TARJETA,
Costo de Venta,Egreso,LA CASA DE ADOBE,07/06/2025,,356.0,AGUA Y HIELO,AGUA Y HIELO,
Gasto Operativo,Egreso,LA CASA DE ADOBE,07/06/2025,,95.0,DEVOLUCIONES Y CANCELACIONES,DEVOLUCIONES Y CANCELACIONES,
Gasto Operativo,Egreso,LA CASA DE ADOBE,07/06/2025,,340.0,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,07/06/2025,,475.1,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,07/06/2025,,1900.0,GAS,GAS,
Ventas,Ingreso,LA CASA DE ADOBE,08/06/2025,,12695.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,08/06/2025,,9217.5,PAGO CON TARJETA,PAGO CON TARJETA,
Ventas,Ingreso,LA CASA DE ADOBE,08/06/2025,,334.0,TRANSFERENCIAS,TRANSFERENCIAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,08/06/2025,,560.0,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,08/06/2025,,487.5,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,08/06/2025,,50.0,MOTOENVIOS,MOTOENVIOS,
Ventas,Ingreso,LA CASA DE ADOBE,09/06/2025,,6386.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,09/06/2025,,2346.8,PAGO CON TARJETA,PAGO CON TARJETA,
Ventas,Ingreso,LA CASA DE ADOBE,09/06/2025,,134.0,TRANSFERENCIAS,TRANSFERENCIAS,
Costo de Venta,Egreso,LA CASA DE ADOBE,09/06/2025,,2030.15,CARNES,CARNES,
Costo de Venta,Egreso,LA CASA DE ADOBE,09/06/2025,,228.0,PANADERIA Y REPOSTERIA,PANADERIA Y REPOSTERIA,
Gasto Operativo,Egreso,LA CASA DE ADOBE,09/06/2025,,75.8,PROPINAS,PROPINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,09/06/2025,,25.0,MOTOENVIOS,MOTOENVIOS,
Ventas,Ingreso,LA CASA DE ADOBE,10/06/2025,,7164.0,PAGO EFECTIVO,PAGO EFECTIVO,
Ventas,Ingreso,LA CASA DE ADOBE,10/06/2025,,4586.3,PAGO CON TARJETA,PAGO CON TARJETA,
Ventas,Ingreso,LA CASA DE ADOBE,10/06/2025,,408.0,TRANSFERENCIAS,TRANSFERENCIAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,10/06/2025,,49.0,NOMINAS,NOMINAS,
Gasto Operativo,Egreso,LA CASA DE ADOBE,10/06/2025,,239.3,PROPINAS,PROPINAS,
